"","num","inst","nombre","sexo","entidad"
"1",1,2,"Director: Dr. Juan Rodríguez Martínez ","m","AGS"
"4",4,14,"Director: Mtro. Sabino Torres Zamora ","m","AGS"
"5",5,18,"Director: Dr. Eduardo Cancino Pérez ","m","AGS"
"6",6,22,"Director: Mtra. Georgina Sandoval Romo ","f","AGS"
"7",7,26,"Director: Mtro. Roberto Romo Marín ","m","AGS"
"8",8,30,"Director: Profra. María Elena Fonseca Buenrostro ","f","AGS"
"9",9,34,"Director: Mtro. Raul Barcenas Ramirez ","m","AGS"
"10",10,39,"Director: Mtro. Mario Gutierrez Reyes ","m","AGS"
"11",11,43,"Director: Protesista Dental Jesús Roberto Grajeda Díaz ","m","AGS"
"12",12,47,"Director: Lic. Dulce María Rivas Godoy ","f","AGS"
"13",13,51,"Director: Mtro. Victor Eudave Anguiano ","m","AGS"
"15",15,59,"Director: Mtro. César G. Zavala Peñaflor ","m","AGS"
"16",16,63,"Director: M.en I. Jorge Ricardo Rodríguez González ","m","AGS"
"17",17,67,"Director: Lic. Oscar Fidel González Mendívil ","m","AGS"
"18",18,71,"Director: M. en C. Jesús Mario Flores Verduzco ","m","AGS"
"20",20,79,"Director: Mtro. Humberto Ambriz Delgadillo ","m","AGS"
"23",23,92,"Director: Ing. Miguel Navarro Moreno ","m","AGS"
"24",24,96,"Director: Mtra. Ofelia Morquecho Buendía ","f","AGS"
"25",25,100,"Director: Dr. en C. Francisco Javier Avelar González ","m","AGS"
"27",27,108,"Director: M.D.A. Juan Camilo Mesa Jaramillo ","m","AGS"
"29",29,116,"Director: C.P.F. Mauricio González López ","m","AGS"
"30",30,120,"Director: Mtra. María del Rocío Martínez Mendoza ","f","AGS"
"31",31,125,"Director: L.C.P. Aida Elizabeth Aceves Galván ","f","AGS"
"32",32,130,"Director: Mtro. Jorge Ramirez Jiménez ","m","AGS"
"33",33,134,"Director: Dr. Alfonso María Alva Martínez ","m","AGS"
"35",35,142,"Director: Mtro. Mauricio González López ","m","AGS"
"37",37,151,"Director: Dr. Gabriel Domínguez García Villalobos ","m","AGS"
"38",38,155,"Director: Ing. Luis Carlos Ibarra Tejeda ","m","AGS"
"40",40,163,"Director: M.A. Miguel Antonio Chávez Martínez ","m","AGS"
"41",41,167,"Director: MEF. María Angélica Martínez Díaz ","f","AGS"
"44",44,181,"Director: Mtro. Carlos H. García Alvarado ","m","BC"
"45",45,186,"Director: Mtro. Mario Abraham Dipp Núñez ","m","BC"
"46",46,191,"Director: Mtra. Jessica Ibarra Ramonet ","f","BC"
"47",47,195,"Director: Lic. José Fernando Sánchez González ","m","BC"
"48",48,199,"Director: Mtra. María de la Paz Boni Acuña ","f","BC"
"49",49,203,"Director: Mtra. Esmirna Carrillo Magaña ","f","BC"
"50",50,207,"Director: Mtra. Esthela Mejía Peraza ","f","BC"
"51",51,211,"Director: Lic. Francisco Javier Sanchez Vazquez ","m","BC"
"52",52,215,"Director: Dr. Fernando León García ","m","BC"
"57",57,235,"Director: Lic. Yolanda Madrid Gómez Tagle ","m","BC"
"58",58,239,"Director: Dr. Silvio Guido Lorenzo Marinone Moschetto ","m","BC"
"59",59,243,"Director: Mtra. Luz Stabinsky Velasco ","f","BC"
"60",60,247,"Director: Dr. Daniel Hierro de la Vega ","m","BC"
"61",61,251,"Director: Dr. Alberto Hernández Hernández ","m","BC"
"62",62,255,"Director: Profa. Margarita Robles Regalado ","f","BC"
"63",63,259,"Director: Lic. Ma. Dolores Martínez Trigueros ","f","BC"
"65",65,267,"Director: Lic. Claudia Hernández Amézquita ","f","BC"
"66",66,271,"Director: M.C. Roberto Barbará Camacho ","m","BC"
